"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:3776.1-3818.7",,1,13,21,21,0,5,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.611902,1,19,37,38,2,7,0,0,0
"data/automatons/randaut.hoa:3776.1-3818.7",,1,13,21,21,0,5,3,1,0,"autfilt","ok",0,0.00429977,1,13,21,21,0,5,3,1,0
"data/automatons/randaut.hoa:3819.1-3884.7",,1,20,37,37,0,4,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,67.1713,1,1016,2031,2032,2,95,0,0,0
"data/automatons/randaut.hoa:3819.1-3884.7",,1,20,37,37,0,4,9,1,0,"autfilt","ok",0,0.00601215,1,20,37,37,0,4,9,1,0
"data/automatons/randaut.hoa:3885.1-3976.7",,2,25,58,58,0,1,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,3.88789,2,85,304,340,2,3,0,0,0
"data/automatons/randaut.hoa:3885.1-3976.7",,2,25,58,58,0,1,9,1,0,"autfilt","ok",0,0.00590423,2,25,58,58,0,1,9,1,0
"data/automatons/randaut.hoa:3977.1-4026.7",,2,14,27,27,0,1,2,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.24828,2,24,73,96,2,3,0,0,0
"data/automatons/randaut.hoa:3977.1-4026.7",,2,14,27,27,0,1,2,1,0,"autfilt","ok",0,0.00610634,2,14,27,27,0,1,2,1,0
"data/automatons/randaut.hoa:4027.1-4101.7",,1,23,43,43,0,2,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,13.6297,1,235,469,470,2,4,0,0,0
"data/automatons/randaut.hoa:4027.1-4101.7",,1,23,43,43,0,2,9,1,0,"autfilt","ok",0,0.00459395,1,23,43,43,0,2,9,1,0
"data/automatons/randaut.hoa:4102.1-4154.7",,2,15,29,29,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.819067,2,21,61,84,2,3,0,0,0
"data/automatons/randaut.hoa:4102.1-4154.7",,2,15,29,29,0,1,3,1,0,"autfilt","ok",0,0.0045887,2,15,29,29,0,1,3,1,0
"data/automatons/randaut.hoa:4155.1-4242.7",,3,24,55,55,0,1,6,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.22635,3,34,122,272,2,3,0,0,0
